latency
2.55
2.43
2.35
6.74
5.82
5.27
5.76
2.5
2.51
2.59
5.79
95.59
63.84
5.81
5.6
5.51
5.44
5.39
10.34
14.34
2.45
2.83
3.01
5.85
2.42
2.6
5.61
5.66
15.67
2.54
5.1
5.04
3.12
5.21
2.33
2.42
5.34
3.5
5.51
108.4
2.16
5.07
2.5
2.41
2.62
4.38
9.02
2.73
5.33
2.46
2.42
2.45
2.4
16.8
5.37
8.33
5.45
33.32
2.32
5.68
6.11
5.41
5.14
2.5
10.34
3.55
2.15
2.63
4.99
3.29
2.07
2.24
2.34
14.05
2.22
5.1
2.17
5.13
5.22
2.2
5.12
2.18
2.35
2.62
2.55
2.63
2.4
2.63
2.16
5.05
5.14
5.11
5.08
2.68
17.61
2.4
5.39
5.92
1.79
2.56
7.22
1.97
2.23
4.92
5.98
2.62
5.26
6.54
5.29
2.17
18.14
5.3
5.11
17.18
5.19
4.06
5.2
2.25
2.41
5.3
5.92
2.26
2.07
11.42
2.53
3.39
10.57
2.6
2.37
2.51
2.27
2.72
2.2
2.82
3.08
2.38
2.21
2.55
1.89
2.04
2.61
102.28
2.33
2.3
2.37
2.43
2.45
2.16
2.5
129.57
2.07
2.44
1.9
2.34
18.83
2.53
2.37
33.04
2.21
2.69
2.36
7.59
3.72
2.7
6.06
5.83
2.74
2.9
30.3
